"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","MA1","MD1","OD1","REM","EQD"
"99800999999","2021-01-02T12:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","290,1,N,0088,1","99999,9,9,N","999999,9,9,9","+0019,1","+9999,9","99999,9",,,"5,99,0129,1,999","SYN040RPRN6 46/// /2917 10019 91150 333 91225=",
"99800999999","2021-01-02T13:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","330,1,N,0093,1","99999,9,9,N","999999,9,9,9","+0010,1","+9999,9","99999,9",,,"5,99,0108,1,999","SYN040RPRN6 46/// /3318 10010 91300 333 91221=",
"99800999999","2021-01-02T14:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","290,1,N,0067,1","99999,9,9,N","999999,9,9,9","+0005,1","+9999,9","99999,9",,,"5,99,0088,1,999","SYN040RPRN6 46/// /2913 10005 91400 333 91217=",
"99800999999","2021-01-02T15:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","280,1,N,0051,1","99999,9,9,N","999999,9,9,9","+0005,1","+9999,9","99999,9",,,"5,99,0067,1,999","SYN040RPRN6 46/// /2810 10005 91440 333 91213=",
"99800999999","2021-01-02T16:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","300,1,N,0057,1","99999,9,9,N","999999,9,9,9","+0008,1","+9999,9","99999,9",,,"5,99,0088,1,999","SYN040RPRN6 46/// /3011 10008 91540 333 91217=",
"99800999999","2021-01-02T17:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","280,1,N,0062,1","99999,9,9,N","999999,9,9,9","+0008,1","+9999,9","99999,9",,,"5,99,0093,1,999","SYN040RPRN6 46/// /2812 10008 91700 333 91218=",
"99800999999","2021-01-02T18:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","300,1,N,0067,1","99999,9,9,N","999999,9,9,9","+0016,1","+9999,9","99999,9",,,"5,99,0098,1,999","SYN040RPRN6 46/// /3013 10016 91800 333 91219=",
"99800999999","2021-01-02T19:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","320,1,N,0077,1","99999,9,9,N","999999,9,9,9","+0018,1","+9999,9","99999,9",,,"5,99,0088,1,999","SYN040RPRN6 46/// /3215 10018 91900 333 91217=",
"99800999999","2021-01-02T20:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","310,1,N,0062,1","99999,9,9,N","999999,9,9,9","+0023,1","+9999,9","99999,9",,,"5,99,0072,1,999","SYN040RPRN6 46/// /3112 10023 92000 333 91214=",
"99800999999","2021-01-02T21:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","300,1,N,0062,1","99999,9,9,N","999999,9,9,9","+0020,1","+9999,9","99999,9",,,"5,99,0072,1,999","SYN040RPRN6 46/// /3012 10020 92040 333 91214=",
"99800999999","2021-01-02T22:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","310,1,N,0057,1","99999,9,9,N","999999,9,9,9","+0013,1","+9999,9","99999,9",,,"5,99,0082,1,999","SYN040RPRN6 46/// /3111 10013 92140 333 91216=",
"99800999999","2021-01-02T23:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","240,1,N,0046,1","99999,9,9,N","999999,9,9,9","+0014,1","+9999,9","99999,9",,,"5,99,0062,1,999","SYN040RPRN6 46/// /2409 10014 92240 333 91212=",
"99800999999","2021-01-03T00:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","240,1,N,0031,1","99999,9,9,N","999999,9,9,9","+0014,1","+9999,9","99999,9",,,"5,99,0041,1,999","SYN040RPRN6 46/// /2406 10014 92350 333 91208=",
"99800999999","2021-01-03T01:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","250,1,N,0021,1","99999,9,9,N","999999,9,9,9","+0016,1","+9999,9","99999,9",,,"5,99,0036,1,999","SYN040RPRN6 46/// /2504 10016 90040 333 91207=",
"99800999999","2021-01-03T02:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","250,1,N,0026,1","99999,9,9,N","999999,9,9,9","+0016,1","+9999,9","99999,9",,,"5,99,0036,1,999","SYN040RPRN6 46/// /2505 10016 90140 333 91207=",
"99800999999","2021-01-03T03:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","230,1,N,0041,1","99999,9,9,N","999999,9,9,9","+0015,1","+9999,9","99999,9",,,"5,99,0051,1,999","SYN040RPRN6 46/// /2308 10015 90250 333 91210=",
"99800999999","2021-01-03T04:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","190,1,N,0021,1","99999,9,9,N","999999,9,9,9","+0013,1","+9999,9","99999,9",,,"5,99,0036,1,999","SYN040RPRN6 46/// /1904 10013 90340 333 91207=",
"99800999999","2021-01-03T05:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","180,1,N,0026,1","99999,9,9,N","999999,9,9,9","+0011,1","+9999,9","99999,9",,,"5,99,0036,1,999","SYN040RPRN6 46/// /1805 10011 90440 333 91207=",
"99800999999","2021-01-03T06:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","200,1,N,0015,1","99999,9,9,N","999999,9,9,9","+0009,1","+9999,9","99999,9",,,"5,99,0041,1,999","SYN040RPRN6 46/// /2003 10009 90540 333 91208=",
"99800999999","2021-01-03T07:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","160,1,N,0026,1","99999,9,9,N","999999,9,9,9","+0008,1","+9999,9","99999,9",,,"5,99,0041,1,999","SYN040RPRN6 46/// /1605 10008 90700 333 91208=",
