"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","MD1","SA1","REM"
"99843599999","2022-01-02T06:00:00","4","44.703","-75.495","10.0","OGDENSBURG, NY US","FM-13","99999","V020","999,9,C,0000,1","99999,9,9,N","999999,9,9,9","-0043,1","+9999,9","10076,1","4,1,000,1,+999,9",,"SYN042OBGN6 46/// ///// 11043 40076 54000 90600="
"99843599999","2022-01-02T07:00:00","4","44.703","-75.495","10.0","OGDENSBURG, NY US","FM-13","99999","V020","999,9,C,0000,1","99999,9,9,N","999999,9,9,9","-0057,1","+9999,9","10080,1","3,1,005,1,+999,9",,"SYN042OBGN6 46/// ///// 11057 40080 53005 90700="
"99843599999","2022-01-02T08:00:00","4","44.703","-75.495","10.0","OGDENSBURG, NY US","FM-13","99999","V020","999,9,C,0000,1","99999,9,9,N","999999,9,9,9","-0064,1","+9999,9","10082,1","2,1,006,1,+999,9",,"SYN042OBGN6 46/// ///// 11064 40082 52006 90800="
"99843599999","2022-01-02T09:00:00","4","44.703","-75.495","10.0","OGDENSBURG, NY US","FM-13","99999","V020","999,9,C,0000,1","99999,9,9,N","999999,9,9,9","-0071,1","+9999,9","10074,1","9,9,000,1,+999,9",,"SYN042OBGN6 46/// ///// 11071 40074 50000 90900="
"99843599999","2022-01-02T10:00:00","4","44.703","-75.495","10.0","OGDENSBURG, NY US","FM-13","99999","V020","999,9,C,0000,1","99999,9,9,N","999999,9,9,9","-0080,1","+9999,9","10070,1","8,1,010,1,+999,9",,"SYN042OBGN6 46/// ///// 11080 40070 58010 91000="
"99843599999","2022-01-02T11:00:00","4","44.703","-75.495","10.0","OGDENSBURG, NY US","FM-13","99999","V020","999,9,C,0000,1","99999,9,9,N","999999,9,9,9","-0080,1","+9999,9","10073,1","5,1,009,1,+999,9",,"SYN042OBGN6 46/// ///// 11080 40073 55009 91100="
"99843599999","2022-01-02T12:00:00","4","44.703","-75.495","10.0","OGDENSBURG, NY US","FM-13","99999","V020","999,9,C,0000,1","99999,9,9,N","999999,9,9,9","-0082,1","+9999,9","10076,1","5,1,000,1,+999,9",,"SYN042OBGN6 46/// ///// 11082 40076 55000 91200="
"99843599999","2022-01-02T13:00:00","4","44.703","-75.495","10.0","OGDENSBURG, NY US","FM-13","99999","V020","999,9,C,0000,1","99999,9,9,N","999999,9,9,9","-0092,1","+9999,9","10086,1","3,1,016,1,+999,9",,"SYN042OBGN6 46/// ///// 11092 40086 53016 91300="
"99843599999","2022-01-02T14:00:00","4","44.703","-75.495","10.0","OGDENSBURG, NY US","FM-13","99999","V020","999,9,C,0000,1","99999,9,9,N","999999,9,9,9","-0097,1","+9999,9","10095,1","3,1,022,1,+999,9",,"SYN042OBGN6 46/// ///// 11097 40095 53022 91400="
"99843599999","2022-01-02T15:00:00","4","44.703","-75.495","10.0","OGDENSBURG, NY US","FM-13","99999","V020","999,9,C,0000,1","99999,9,9,N","999999,9,9,9","-0097,1","+9999,9","10104,1","1,1,028,1,+999,9",,"SYN042OBGN6 46/// ///// 11097 40104 51028 91500="
