"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AT1","AT2","AT3","AT4","AT5","AU1","AU2","AW1","AW2","GA1","GA2","GA3","GD1","GD2","GD3","GD4","GE1","GF1","MA1","MW1","MW2","MW3","OC1","REM","EQD"
"74499404741","2022-06-23T23:46:00","7","42.85","-73.95","115.2","SCHENECTADY, NY US","FM-15","KSCH ","V020","130,5,N,0026,5","22000,5,9,N","024140,5,N,5","+0210,C","+0140,C","99999,9",,,,,,,,,,"04,5,+01128,5,99,9","04,5,+02438,5,99,9","04,5,+04572,5,99,9","2,99,1,+01128,5,9","2,99,1,+02438,5,9","2,99,1,+04572,5,9",,"9,AGL   ,+99999,+99999","04,99,5,99,9,99,9,01128,1,99,9,99,9","10152,5,10015,5",,,,,"MET08606/23/22 18:46:02 METAR KSCH 232346Z 13005KT 15SM SCT037 SCT080 SCT150 21/14 A2998 RMK","R01    217TMP046R02    147DPT046D01      0ADE726"
"74499404741","2022-06-24T00:55:00","7","42.85","-73.95","115.2","SCHENECTADY, NY US","FM-15","KSCH ","V020","999,9,C,0000,5","01311,5,M,N","024140,5,N,5","+0190,C","+0140,C","99999,9",,,,,,,,,,"04,5,+01006,5,99,9","07,5,+01311,5,99,9",,"2,99,1,+01006,5,9","3,99,1,+01311,5,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,01006,1,99,9,99,9","10152,5,10015,5",,,,,"MET07906/23/22 19:55:01 METAR KSCH 240055Z 00000KT 15SM SCT033 BKN043 19/14 A2998 RMK","R01    197TMP046R02    147DPT046"
"74499404741","2022-06-24T01:55:00","7","42.85","-73.95","115.2","SCHENECTADY, NY US","FM-15","KSCH ","V020","999,9,C,0000,5","22000,5,9,N","024140,5,N,5","+0180,C","+0140,C","99999,9",,,,,,,,,,"04,5,+01006,5,99,9","04,5,+01311,5,99,9","04,5,+03353,5,99,9","2,99,1,+01006,5,9","2,99,1,+01311,5,9","2,99,1,+03353,5,9",,"9,AGL   ,+99999,+99999","04,99,5,99,9,99,9,01006,1,99,9,99,9","10156,5,10018,5",,,,,"MET09106/23/22 20:55:01 METAR KSCH 240155Z 00000KT 15SM SCT033 SCT043 SCT110 18/14 A2999 RMK LAST","R01    187TMP046R02    147DPT046D01      0ADE726"
"74499404741","2022-06-24T11:55:00","7","42.85","-73.95","115.2","SCHENECTADY, NY US","FM-15","KSCH ","V020","999,9,C,0000,5","00122,5,M,N","024140,5,N,5","+0160,C","+0160,C","99999,9",,,,,,,,,,"07,5,+00122,5,99,9",,,"3,99,1,+00122,5,9",,,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00122,1,99,9,99,9","10166,5,10028,5",,,,,"MET07806/24/22 06:55:02 METAR KSCH 241155Z 00000KT 15SM BKN004 16/16 A3002 RMK FIRST","R01    167TMP046R02    167DPT046"
"74499404741","2022-06-24T12:20:00","7","42.85","-73.95","115.2","SCHENECTADY, NY US","FM-15","KSCH ","V020","220,5,N,0015,5","22000,5,9,N","016093,5,N,5","+0170,5","+0170,5","99999,9",,,,,,,,,,"00,5,+99999,9,99,9",,,"0,99,1,+99999,9,9",,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10166,5,10028,5",,,,,"MET06906/24/22 07:20:02 METAR KSCH 241220Z 22003KT 10SM CLR 17/17 A3002 RMK",
"74499404741","2022-06-24T12:52:00","7","42.85","-73.95","115.2","SCHENECTADY, NY US","FM-15","KSCH ","V020","999,9,C,0000,5","22000,5,9,N","016093,5,N,5","+0180,C","+0170,C","99999,9",,,,,,,,,,"00,5,+99999,9,99,9",,,"0,99,1,+99999,9,9",,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10166,5,10028,5",,,,,"MET06906/24/22 07:52:02 METAR KSCH 241252Z 00000KT 10SM CLR 18/17 A3002 RMK","R01    187TMP046R02    177DPT046"
"74499404741","2022-06-24T13:46:00","7","42.85","-73.95","115.2","SCHENECTADY, NY US","FM-15","KSCH ","V020","170,5,N,0026,5","22000,5,9,N","016093,5,N,5","+0210,C","+0160,C","99999,9",,,,,,,,,,"00,5,+99999,9,99,9",,,"0,99,1,+99999,9,9",,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10166,5,10028,5",,,,,"MET06906/24/22 08:46:02 METAR KSCH 241346Z 17005KT 10SM CLR 21/16 A3002 RMK","R01    217TMP046R02    167DPT046"
"74499404741","2022-06-24T14:45:00","7","42.85","-73.95","115.2","SCHENECTADY, NY US","FM-15","KSCH ","V020","999,9,C,0000,5","22000,5,9,N","016093,5,N,5","+0230,C","+0160,C","99999,9",,,,,,,,,,"00,5,+99999,9,99,9",,,"0,99,1,+99999,9,9",,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10166,5,10028,5",,,,,"MET06906/24/22 09:45:02 METAR KSCH 241445Z 00000KT 10SM CLR 23/16 A3002 RMK","R01    237TMP046R02    167DPT046"
"74499404741","2022-06-24T15:47:00","7","42.85","-73.95","115.2","SCHENECTADY, NY US","FM-15","KSCH ","V020","350,5,N,0026,5","01067,5,M,N","024140,5,N,5","+0250,C","+0160,C","99999,9",,,,,,,,,,"07,5,+01067,5,99,9",,,"3,99,1,+01067,5,9",,,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,01067,1,99,9,99,9","10166,5,10028,5",,,,,"MET07206/24/22 10:47:02 METAR KSCH 241547Z 35005KT 15SM BKN035 25/16 A3002 RMK","R01    257TMP046R02    167DPT046"
"74499404741","2022-06-24T16:51:00","7","42.85","-73.95","115.2","SCHENECTADY, NY US","FM-15","KSCH ","V020","999,9,C,0000,5","01524,5,M,N","024140,5,N,5","+0270,C","+0150,C","99999,9",,,,,,,,,,"04,5,+01250,5,99,9","07,5,+01524,5,99,9",,"2,99,1,+01250,5,9","3,99,1,+01524,5,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,01250,1,99,9,99,9","10163,5,10025,5",,,,,"MET07906/24/22 11:51:02 METAR KSCH 241651Z 00000KT 15SM SCT041 BKN050 27/15 A3001 RMK","R01    277TMP046R02    157DPT046"
"74499404741","2022-06-24T18:46:00","7","42.85","-73.95","115.2","SCHENECTADY, NY US","FM-15","KSCH ","V020","270,5,N,0031,5","22000,5,9,N","024140,5,N,5","+0290,C","+0160,C","99999,9",,,,,,,,,,"04,5,+01463,5,99,9",,,"2,99,1,+01463,5,9",,,,"9,AGL   ,+99999,+99999","04,99,5,99,9,99,9,01463,1,99,9,99,9","10152,5,10015,5",,,,,"MET07206/24/22 13:46:02 METAR KSCH 241846Z 27006KT 15SM SCT048 29/16 A2998 RMK","R01    297TMP046R02    167DPT046D01      0ADE726"
"74499404741","2022-06-24T19:54:00","7","42.85","-73.95","115.2","SCHENECTADY, NY US","FM-15","KSCH ","V020","260,5,N,0031,5","22000,5,9,N","024140,5,N,5","+0290,C","+0150,C","99999,9",,,,,,,,,,"04,5,+01524,5,99,9","04,5,+02438,5,99,9",,"2,99,1,+01524,5,9","2,99,1,+02438,5,9",,,"9,AGL   ,+99999,+99999","04,99,5,99,9,99,9,01524,1,99,9,99,9","10149,5,10011,5",,,,,"MET07906/24/22 14:54:02 METAR KSCH 241954Z 26006KT 15SM SCT050 SCT080 29/15 A2997 RMK","R01    297TMP046R02    157DPT046D01      0ADE726"
"74499404741","2022-06-24T20:55:00","7","42.85","-73.95","115.2","SCHENECTADY, NY US","FM-15","KSCH ","V020","300,5,N,0031,5","22000,5,9,N","024140,5,N,5","+0300,C","+0150,C","99999,9",,,,,,,,,,"04,5,+01524,5,99,9","04,5,+02438,5,99,9",,"2,99,1,+01524,5,9","2,99,1,+02438,5,9",,,"9,AGL   ,+99999,+99999","04,99,5,99,9,99,9,01524,1,99,9,99,9","10152,5,10015,5",,,,,"MET07906/24/22 15:55:02 METAR KSCH 242055Z 30006KT 15SM SCT050 SCT080 30/15 A2998 RMK","R01    307TMP046R02    157DPT046D01      0ADE726"
"74499404741","2022-06-24T21:52:00","7","42.85","-73.95","115.2","SCHENECTADY, NY US","FM-15","KSCH ","V020","260,5,N,0051,5","22000,5,9,N","024140,5,N,5","+0290,C","+0160,C","99999,9",,,,,,,,,,"04,5,+01524,5,99,9",,,"2,99,1,+01524,5,9",,,,"9,AGL   ,+99999,+99999","04,99,5,99,9,99,9,01524,1,99,9,99,9","10152,5,10015,5",,,,,"MET07206/24/22 16:52:02 METAR KSCH 242152Z 26010KT 15SM SCT050 29/16 A2998 RMK","R01    297TMP046R02    167DPT046D01      0ADE726"
"74499404741","2022-06-24T22:55:00","7","42.85","-73.95","115.2","SCHENECTADY, NY US","FM-15","KSCH ","V020","280,5,N,0041,5","22000,5,9,N","024140,5,N,5","+0290,C","+0140,C","99999,9",,,,,,,,,,"04,5,+01524,5,99,9",,,"2,99,1,+01524,5,9",,,,"9,AGL   ,+99999,+99999","04,99,5,99,9,99,9,01524,1,99,9,99,9","10152,5,10015,5",,,,,"MET07206/24/22 17:55:02 METAR KSCH 242255Z 28008KT 15SM SCT050 29/14 A2998 RMK","R01    297TMP046R02    147DPT046D01      0ADE726"
"74499404741","2022-06-24T23:47:00","7","42.85","-73.95","115.2","SCHENECTADY, NY US","FM-15","KSCH ","V020","280,5,N,0051,5","22000,5,9,N","024140,5,N,5","+0270,C","+0130,C","99999,9",,,,,,,,,,"02,5,+01524,5,99,9","02,5,+03658,5,99,9",,"1,99,1,+01524,5,9","1,99,1,+03658,5,9",,,"9,AGL   ,+99999,+99999","02,99,5,99,9,99,9,01524,1,99,9,99,9","10159,5,10021,5",,,,,"MET07906/24/22 18:47:02 METAR KSCH 242347Z 28010KT 15SM FEW050 FEW120 27/13 A3000 RMK","R01    277TMP046R02    137DPT046D01      0ADE726"
"74499404741","2022-06-25T00:52:00","7","42.85","-73.95","115.2","SCHENECTADY, NY US","FM-15","KSCH ","V020","290,5,N,0041,5","22000,5,9,N","024140,5,N,5","+0250,C","+0140,C","99999,9",,,,,,,,,,"02,5,+01524,5,99,9","02,5,+03658,5,99,9",,"1,99,1,+01524,5,9","1,99,1,+03658,5,9",,,"9,AGL   ,+99999,+99999","02,99,5,99,9,99,9,01524,1,99,9,99,9","10163,5,10025,5",,,,,"MET07906/24/22 19:52:01 METAR KSCH 250052Z 29008KT 15SM FEW050 FEW120 25/14 A3001 RMK","R01    257TMP046R02    147DPT046D01      0ADE726"
"74499404741","2022-06-25T01:51:00","7","42.85","-73.95","115.2","SCHENECTADY, NY US","FM-15","KSCH ","V020","290,5,N,0051,5","22000,5,9,N","024140,5,N,5","+0240,C","+0120,C","99999,9",,,,,,,,,,"00,5,+99999,9,99,9",,,"0,99,1,+99999,9,9",,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10169,5,10031,5",,,,,"MET07406/24/22 20:51:01 METAR KSCH 250151Z 29010KT 15SM CLR 24/12 A3003 RMK LAST","R01    247TMP046R02    127DPT046"
"74499404741","2022-06-25T11:45:00","7","42.85","-73.95","115.2","SCHENECTADY, NY US","FM-15","KSCH ","V020","999,9,C,0000,5","22000,5,9,N","024140,5,N,5","+0200,C","+0130,C","99999,9",,,,,,,,,,"00,5,+99999,9,99,9",,,"0,99,1,+99999,9,9",,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10207,5,10068,5",,,,,"MET07506/25/22 06:45:02 METAR KSCH 251145Z 00000KT 15SM CLR 20/13 A3014 RMK FIRST","R01    207TMP046R02    137DPT046"
"74499404741","2022-06-25T12:55:00","7","42.85","-73.95","115.2","SCHENECTADY, NY US","FM-15","KSCH ","V020","250,5,N,0021,5","22000,5,9,N","024140,5,N,5","+0220,C","+0130,C","99999,9",,,,,,,,,,"00,5,+99999,9,99,9",,,"0,99,1,+99999,9,9",,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10210,5,10072,5",,,,,"MET06906/25/22 07:55:02 METAR KSCH 251255Z 25004KT 15SM CLR 22/13 A3015 RMK","R01    227TMP046R02    137DPT046"
