"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","MA1","MD1","OD1","REM"
"99800999999","2022-01-02T05:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","030,1,N,0093,1","99999,9,9,N","999999,9,9,9","+0001,1","+9999,9","10088,1",,,"5,99,0113,1,999","SYN046RPRN6 46/// /0318 10001 40088 90510 333 91222="
"99800999999","2022-01-02T06:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","040,1,N,0088,1","99999,9,9,N","999999,9,9,9","-0002,1","+9999,9","10088,1",,"4,1,000,1,+999,9","5,99,0103,1,999","SYN052RPRN6 46/// /0417 11002 40088 54000 90600 333 91220="
"99800999999","2022-01-02T07:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","040,1,N,0082,1","99999,9,9,N","999999,9,9,9","-0007,1","+9999,9","10088,1",,"4,1,000,1,+999,9","5,99,0093,1,999","SYN052RPRN6 46/// /0416 11007 40088 54000 90700 333 91218="
"99800999999","2022-01-02T08:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","040,1,N,0077,1","99999,9,9,N","999999,9,9,9","-0008,1","+9999,9","10088,1",,,"5,99,0088,1,999","SYN046RPRN6 46/// /0415 11008 40088 90740 333 91217="
"99800999999","2022-01-02T09:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","050,1,N,0077,1","99999,9,9,N","999999,9,9,9","-0008,1","+9999,9","10085,1",,"8,1,003,1,+999,9","5,99,0098,1,999","SYN052RPRN6 46/// /0515 11008 40085 58003 90900 333 91219="
"99800999999","2022-01-02T10:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","060,1,N,0072,1","99999,9,9,N","999999,9,9,9","-0012,1","+9999,9","10081,1",,"8,1,007,1,+999,9","5,99,0082,1,999","SYN052RPRN6 46/// /0614 11012 40081 58007 91000 333 91216="
"99800999999","2022-01-02T11:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","030,1,N,0067,1","99999,9,9,N","999999,9,9,9","-0013,1","+9999,9","10081,1",,"6,1,007,1,+999,9","5,99,0077,1,999","SYN052RPRN6 46/// /0313 11013 40081 56007 91100 333 91215="
"99800999999","2022-01-02T12:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","010,1,N,0088,1","99999,9,9,N","999999,9,9,9","-0019,1","+9999,9","10088,1",,"3,1,003,1,+999,9","5,99,0098,1,999","SYN052RPRN6 46/// /0117 11019 40088 53003 91200 333 91219="
"99800999999","2022-01-02T13:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","010,1,N,0088,1","99999,9,9,N","999999,9,9,9","-0027,1","+9999,9","10105,1",,"3,1,024,1,+999,9","5,99,0098,1,999","SYN052RPRN6 46/// /0117 11027 40105 53024 91300 333 91219="
"99800999999","2022-01-02T14:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","010,1,N,0088,1","99999,9,9,N","999999,9,9,9","-0034,1","+9999,9","10112,1",,"2,1,031,1,+999,9","5,99,0108,1,999","SYN052RPRN6 46/// /0117 11034 40112 52031 91400 333 91221="
"99800999999","2022-01-02T15:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","020,1,N,0062,1","99999,9,9,N","999999,9,9,9","-0038,1","+9999,9","10122,1",,"1,1,034,1,+999,9","5,99,0067,1,999","SYN052RPRN6 46/// /0212 11038 40122 51034 91500 333 91213="
"99800999999","2022-01-02T16:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","030,1,N,0041,1","99999,9,9,N","999999,9,9,9","-0035,1","+9999,9","10122,1",,"1,1,017,1,+999,9","5,99,0057,1,999","SYN052RPRN6 46/// /0308 11035 40122 51017 91600 333 91211="
"99800999999","2022-01-02T17:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","340,1,N,0062,1","99999,9,9,N","999999,9,9,9","-0034,1","+9999,9","10125,1",,"1,1,013,1,+999,9","5,99,0072,1,999","SYN052RPRN6 46/// /3412 11034 40125 51013 91700 333 91214="
"99800999999","2022-01-02T18:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","350,1,N,0062,1","99999,9,9,N","999999,9,9,9","-0036,1","+9999,9","10135,1",,"3,1,013,1,+999,9","5,99,0072,1,999","SYN052RPRN6 46/// /3512 11036 40135 53013 91800 333 91214="
"99800999999","2022-01-02T19:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","340,1,N,0067,1","99999,9,9,N","999999,9,9,9","-0036,1","+9999,9","10146,1",,"3,1,024,1,+999,9","5,99,0082,1,999","SYN052RPRN6 46/// /3413 11036 40146 53024 91900 333 91216="
"99800999999","2022-01-02T20:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","330,1,N,0072,1","99999,9,9,N","999999,9,9,9","-0030,1","+9999,9","10146,1",,"1,1,021,1,+999,9","5,99,0103,1,999","SYN052RPRN6 46/// /3314 11030 40146 51021 92000 333 91220="
"99800999999","2022-01-02T21:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","310,1,N,0072,1","99999,9,9,N","999999,9,9,9","-0028,1","+9999,9","10173,1",,"3,1,038,1,+999,9","5,99,0088,1,999","SYN052RPRN6 46/// /3114 11028 40173 53038 92100 333 91217="
"99800999999","2022-01-02T22:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","280,1,N,0036,1","99999,9,9,N","999999,9,9,9","-0035,1","+9999,9","10183,1",,"3,1,037,1,+999,9","5,99,0062,1,999","SYN052RPRN6 46/// /2807 11035 40183 53037 92200 333 91212="
"99800999999","2022-01-02T23:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","260,1,N,0041,1","99999,9,9,N","999999,9,9,9","-0039,1","+9999,9","10193,1",,"1,1,047,1,+999,9","5,99,0062,1,999","SYN052RPRN6 46/// /2608 11039 40193 51047 92300 333 91212="
"99800999999","2022-01-03T00:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","260,1,N,0046,1","99999,9,9,N","999999,9,9,9","-0044,1","+9999,9","10207,1",,"3,1,034,1,+999,9","5,99,0057,1,999","SYN052RPRN6 46/// /2609 11044 40207 53034 90000 333 91211="
"99800999999","2022-01-03T01:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","270,1,N,0046,1","99999,9,9,N","999999,9,9,9","-0048,1","+9999,9","10210,1",,"1,1,027,1,+999,9","5,99,0062,1,999","SYN052RPRN6 46/// /2709 11048 40210 51027 90100 333 91212="
"99800999999","2022-01-03T02:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","270,1,N,0051,1","99999,9,9,N","999999,9,9,9","-0048,1","+9999,9","10220,1",,"1,1,027,1,+999,9","5,99,0067,1,999","SYN052RPRN6 46/// /2710 11048 40220 51027 90200 333 91213="
"99800999999","2022-01-03T03:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","270,1,N,0051,1","99999,9,9,N","999999,9,9,9","-0048,1","+9999,9","10220,1",,"1,1,013,1,+999,9","5,99,0062,1,999","SYN052RPRN6 46/// /2710 11048 40220 51013 90300 333 91212="
"99800999999","2022-01-03T04:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","280,1,N,0041,1","99999,9,9,N","999999,9,9,9","-0047,1","+9999,9","10224,1",,"1,1,014,1,+999,9","5,99,0062,1,999","SYN052RPRN6 46/// /2808 11047 40224 51014 90400 333 91212="
"99800999999","2022-01-03T05:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","280,1,N,0051,1","99999,9,9,N","999999,9,9,9","-0051,1","+9999,9","10234,1",,"3,1,014,1,+999,9","5,99,0082,1,999","SYN052RPRN6 46/// /2810 11051 40234 53014 90500 333 91216="
"99800999999","2022-01-03T06:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","270,1,N,0041,1","99999,9,9,N","999999,9,9,9","-0058,1","+9999,9","10237,1",,"1,1,017,1,+999,9","5,99,0046,1,999","SYN052RPRN6 46/// /2708 11058 40237 51017 90600 333 91209="
"99800999999","2022-01-03T07:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","270,1,N,0046,1","99999,9,9,N","999999,9,9,9","-0065,1","+9999,9","10247,1",,"2,1,023,1,+999,9","5,99,0062,1,999","SYN052RPRN6 46/// /2709 11065 40247 52023 90700 333 91212="
"99800999999","2022-01-03T08:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","280,1,N,0062,1","99999,9,9,N","999999,9,9,9","-0069,1","+9999,9","10254,1",,"3,1,020,1,+999,9","5,99,0077,1,999","SYN052RPRN6 46/// /2812 11069 40254 53020 90800 333 91215="
"99800999999","2022-01-03T09:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","280,1,N,0046,1","99999,9,9,N","999999,9,9,9","-0072,1","+9999,9","10257,1",,"1,1,020,1,+999,9","5,99,0067,1,999","SYN052RPRN6 46/// /2809 11072 40257 51020 90900 333 91213="
"99800999999","2022-01-03T10:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","330,1,N,0057,1","99999,9,9,N","999999,9,9,9","-0064,1","+9999,9","10261,1",,"1,1,014,1,+999,9","5,99,0103,1,999","SYN052RPRN6 46/// /3311 11064 40261 51014 91000 333 91220="
"99800999999","2022-01-03T11:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","360,1,N,0067,1","99999,9,9,N","999999,9,9,9","-0065,1","+9999,9","10257,1",,"9,9,003,1,+999,9","5,99,0093,1,999","SYN052RPRN6 46/// /3613 11065 40257 50003 91100 333 91218="
"99800999999","2022-01-03T12:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","010,1,N,0077,1","99999,9,9,N","999999,9,9,9","-0074,1","+9999,9","10261,1",,"2,1,004,1,+999,9","5,99,0093,1,999","SYN052RPRN6 46/// /0115 11074 40261 52004 91200 333 91218="
"99800999999","2022-01-03T13:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","020,1,N,0057,1","99999,9,9,N","999999,9,9,9","-0085,1","+9999,9","10264,1",,"3,1,003,1,+999,9","5,99,0088,1,999","SYN052RPRN6 46/// /0211 11085 40264 53003 91300 333 91217="
