"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AT1","AT2","AT3","AU1","AU2","AW1","AW2","GA1","GA2","GA3","GD1","GD2","GD3","GD4","GE1","GF1","MA1","MW1","MW2","MW3","OC1","REM","EQD"
"74499404741","2020-06-13T12:46:00","7","42.85","-73.95","115.2","SCHENECTADY, NY US","FM-15","KSCH ","V020","270,5,N,0057,5","22000,5,9,N","024140,5,N,5","+0130,C","+0040,C","99999,9",,,,,,,,"04,5,+01036,5,99,9",,,"2,99,1,+01036,5,9",,,,"9,AGL   ,+99999,+99999","04,99,5,99,9,99,9,01036,1,99,9,99,9","10237,5,10098,5",,,,,"MET07206/13/20 07:46:02 METAR KSCH 131246Z 27011KT 15SM SCT034 13/04 A3023 RMK","R01    137TMP046R02    047DPT046D01      0ADE726"
"74499404741","2020-06-13T13:48:00","7","42.85","-73.95","115.2","SCHENECTADY, NY US","FM-15","KSCH ","V020","260,5,N,0046,5","22000,5,9,N","024140,5,N,5","+0130,C","+0040,C","99999,9",,,,,,,,"04,5,+01067,5,99,9",,,"2,99,1,+01067,5,9",,,,"9,AGL   ,+99999,+99999","04,99,5,99,9,99,9,01067,1,99,9,99,9","10240,5,10102,5",,,,,"MET07206/13/20 08:48:02 METAR KSCH 131348Z 26009KT 15SM SCT035 13/04 A3024 RMK","R01    137TMP046R02    047DPT046D01      0ADE726"
"74499404741","2020-06-13T14:47:00","7","42.85","-73.95","115.2","SCHENECTADY, NY US","FM-15","KSCH ","V020","260,5,N,0031,5","22000,5,9,N","024140,5,N,5","+0140,C","+0040,C","99999,9",,,,,,,,"04,5,+01250,5,99,9",,,"2,99,1,+01250,5,9",,,,"9,AGL   ,+99999,+99999","04,99,5,99,9,99,9,01250,1,99,9,99,9","10240,5,10102,5",,,,"0072,5","MET07506/13/20 09:47:02 METAR KSCH 131447Z 26006G14KT 15SM SCT041 14/04 A3024 RMK","R01    147TMP046R02    047DPT046D01      0ADE726"
"74499404741","2020-06-13T15:48:00","7","42.85","-73.95","115.2","SCHENECTADY, NY US","FM-15","KSCH ","V020","310,5,N,0051,5","22000,5,9,N","024140,5,N,5","+0150,C","+0040,C","99999,9",,,,,,,,"04,5,+01311,5,99,9","04,5,+01494,5,99,9",,"2,99,1,+01311,5,9","2,99,1,+01494,5,9",,,"9,AGL   ,+99999,+99999","04,99,5,99,9,99,9,01311,1,99,9,99,9","10244,5,10105,5",,,,"0082,5","MET08206/13/20 10:48:02 METAR KSCH 131548Z 31010G16KT 15SM SCT043 SCT049 15/04 A3025 RMK","R01    157TMP046R02    047DPT046D01      0ADE726"
"74499404741","2020-06-13T16:46:00","7","42.85","-73.95","115.2","SCHENECTADY, NY US","FM-15","KSCH ","V020","290,5,N,0051,5","01676,5,M,N","024140,5,N,5","+0160,C","+0040,C","99999,9",,,,,,,,"04,5,+01402,5,99,9","08,5,+01676,5,99,9",,"2,99,1,+01402,5,9","4,99,1,+01676,5,9",,,"9,MSL   ,+99999,+99999","99,99,9,99,9,99,9,01402,1,99,9,99,9","10244,5,10105,5",,,,"0082,5","MET08206/13/20 11:46:02 METAR KSCH 131646Z 29010G16KT 15SM SCT046 OVC055 16/04 A3025 RMK","R01    167TMP046R02    047DPT046"
"74499404741","2020-06-13T17:49:00","7","42.85","-73.95","115.2","SCHENECTADY, NY US","FM-15","KSCH ","V020","270,5,N,0051,5","01524,5,M,N","024140,5,N,5","+0160,C","+0040,C","99999,9",,,,,,,,"07,5,+01524,5,99,9",,,"3,99,1,+01524,5,9",,,,"9,MSL   ,+99999,+99999","99,99,9,99,9,99,9,01524,1,99,9,99,9","10244,5,10105,5",,,,,"MET07206/13/20 12:49:02 METAR KSCH 131749Z 27010KT 15SM BKN050 16/04 A3025 RMK","R01    167TMP046R02    047DPT046"
"74499404741","2020-06-13T18:46:00","7","42.85","-73.95","115.2","SCHENECTADY, NY US","FM-15","KSCH ","V020","270,5,N,0041,5","01829,5,M,N","024140,5,N,5","+0160,C","+0040,C","99999,9",,,,,,,,"07,5,+01829,5,99,9",,,"3,99,1,+01829,5,9",,,,"9,MSL   ,+99999,+99999","99,99,9,99,9,99,9,01829,1,99,9,99,9","10247,5,10108,5",,,,,"MET07206/13/20 13:46:02 METAR KSCH 131846Z 27008KT 15SM BKN060 16/04 A3026 RMK","R01    167TMP046R02    047DPT046"
"74499404741","2020-06-13T19:47:00","7","42.85","-73.95","115.2","SCHENECTADY, NY US","FM-15","KSCH ","V020","320,5,N,0041,5","01829,5,M,N","024140,5,N,5","+0160,C","+0030,C","99999,9",,,,,,,,"07,5,+01829,5,99,9",,,"3,99,1,+01829,5,9",,,,"9,MSL   ,+99999,+99999","99,99,9,99,9,99,9,01829,1,99,9,99,9","10254,5,10115,5",,,,,"MET07206/13/20 14:47:02 METAR KSCH 131947Z 32008KT 15SM BKN060 16/03 A3028 RMK","R01    167TMP046R02    037DPT046"
"74499404741","2020-06-13T20:55:00","7","42.85","-73.95","115.2","SCHENECTADY, NY US","FM-15","KSCH ","V020","330,5,N,0026,5","01981,5,M,N","024140,5,N,5","+0160,C","+0030,C","99999,9",,,,,,,,"07,5,+01981,5,99,9",,,"3,99,1,+01981,5,9",,,,"9,MSL   ,+99999,+99999","99,99,9,99,9,99,9,01981,1,99,9,99,9","10251,5,10112,5",,,,,"MET07206/13/20 15:55:02 METAR KSCH 132055Z 33005KT 15SM BKN065 16/03 A3027 RMK","R01    167TMP046R02    037DPT046"
"74499404741","2020-06-13T21:52:00","7","42.85","-73.95","115.2","SCHENECTADY, NY US","FM-15","KSCH ","V020","060,5,N,0041,5","01676,5,M,N","024140,5,N,5","+0140,C","+0050,C","99999,9",,,,,,,,"07,5,+01676,5,99,9",,,"3,99,1,+01676,5,9",,,,"9,MSL   ,+99999,+99999","99,99,9,99,9,99,9,01676,1,99,9,99,9","10257,5,10119,5",,,,,"MET07206/13/20 16:52:02 METAR KSCH 132152Z 06008KT 15SM BKN055 14/05 A3029 RMK","R01    147TMP046R02    057DPT046"
