"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","MD1","OD1","SA1","REM"
"99729699999","2020-08-01T20:00:00","4","39.27","-76.57","10.0","BALTIMORE MD, MD US","FM-13","99999","V020","170,1,N,0036,1","99999,9,9,N","999999,9,9,9","+0288,1","+9999,9","10130,1",,"5,99,0046,1,999","+285,1","SYN074BLTM2 46/// /1707 10288 40130 91936 222// 00285 333 91209 555 11008 22008="
"99729699999","2020-08-01T21:00:00","4","39.27","-76.57","10.0","BALTIMORE MD, MD US","FM-13","99999","V020","170,1,N,0036,1","99999,9,9,N","999999,9,9,9","+0290,1","+9999,9","10119,1",,"5,99,0051,1,999","+284,1","SYN074BLTM2 46/// /1707 10290 40119 92048 222// 00284 333 91210 555 11007 22008="
"99729699999","2020-08-01T22:00:00","4","39.27","-76.57","10.0","BALTIMORE MD, MD US","FM-13","99999","V020","160,1,N,0036,1","99999,9,9,N","999999,9,9,9","+0290,1","+9999,9","10120,1","6,1,011,1,+999,9","5,99,0057,1,999","+286,1","SYN080BLTM2 46/// /1607 10290 40120 56011 92200 222// 00286 333 91211 555 11007 22008="
"99729699999","2020-08-01T23:00:00","4","39.27","-76.57","10.0","BALTIMORE MD, MD US","FM-13","99999","V020","200,1,N,0010,1","99999,9,9,N","999999,9,9,9","+0288,1","+9999,9","10125,1",,"5,99,0046,1,999","+286,1","SYN074BLTM2 46/// /2002 10288 40125 92248 222// 00286 333 91209 555 11002 22003="
"99729699999","2020-08-02T00:00:00","4","39.27","-76.57","10.0","BALTIMORE MD, MD US","FM-13","99999","V020","190,1,N,0015,1","99999,9,9,N","999999,9,9,9","+0287,1","+9999,9","10129,1","2,1,011,1,+999,9","5,99,0036,1,999","+287,1","SYN080BLTM2 46/// /1903 10287 40129 52011 90000 222// 00287 333 91207 555 11003 22003="
"99729699999","2020-08-02T01:00:00","4","39.27","-76.57","10.0","BALTIMORE MD, MD US","FM-13","99999","V020","999,9,C,0000,1","99999,9,9,N","999999,9,9,9","+0284,1","+9999,9","10132,1",,,"+287,1","SYN048BLTM2 46/// ///// 10284 40132 90042 222// 00287="
"99729699999","2020-08-02T02:00:00","4","39.27","-76.57","10.0","BALTIMORE MD, MD US","FM-13","99999","V020","180,1,N,0010,1","99999,9,9,N","999999,9,9,9","+0279,1","+9999,9","10129,1",,"5,99,0026,1,999","+286,1","SYN074BLTM2 46/// /1802 10279 40129 90230 222// 00286 333 91205 555 11003 22003="
"99729699999","2020-08-02T03:00:00","4","39.27","-76.57","10.0","BALTIMORE MD, MD US","FM-13","99999","V020","190,1,N,0015,1","99999,9,9,N","999999,9,9,9","+0278,1","+9999,9","10126,1","7,1,003,1,+999,9","5,99,0026,1,999","+287,1","SYN080BLTM2 46/// /1903 10278 40126 57003 90300 222// 00287 333 91205 555 11003 22003="
"99729699999","2020-08-02T04:00:00","4","39.27","-76.57","10.0","BALTIMORE MD, MD US","FM-13","99999","V020","170,1,N,0046,1","99999,9,9,N","999999,9,9,9","+0276,1","+9999,9","10125,1",,"5,99,0062,1,999","+287,1","SYN074BLTM2 46/// /1709 10276 40125 90354 222// 00287 333 91212 555 11009 22010="
"99729699999","2020-08-02T05:00:00","4","39.27","-76.57","10.0","BALTIMORE MD, MD US","FM-13","99999","V020","180,1,N,0026,1","99999,9,9,N","999999,9,9,9","+0271,1","+9999,9","10124,1",,"5,99,0057,1,999","+286,1","SYN074BLTM2 46/// /1805 10271 40124 90436 222// 00286 333 91211 555 11005 22006="
"99729699999","2020-08-02T06:00:00","4","39.27","-76.57","10.0","BALTIMORE MD, MD US","FM-13","99999","V020","170,1,N,0041,1","99999,9,9,N","999999,9,9,9","+0270,1","+9999,9","10120,1","8,1,006,1,+999,9","5,99,0051,1,999","+287,1","SYN080BLTM2 46/// /1708 10270 40120 58006 90600 222// 00287 333 91210 555 11008 22009="
"99729699999","2020-08-02T07:00:00","4","39.27","-76.57","10.0","BALTIMORE MD, MD US","FM-13","99999","V020","180,1,N,0021,1","99999,9,9,N","999999,9,9,9","+0268,1","+9999,9","10113,1","8,1,011,1,+999,9","5,99,0036,1,999","+286,1","SYN080BLTM2 46/// /1804 10268 40113 58011 90700 222// 00286 333 91207 555 11004 22005="
