"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","MA1","OD1","REM","EQD"
"99800999999","2020-01-02T06:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","190,1,N,0036,1","99999,9,9,N","999999,9,9,9","-0004,1","+9999,9","99999,9",,"5,99,0046,1,999","SYN040RPRN6 46/// /1907 11004 90540 333 91209=",
"99800999999","2020-01-02T07:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","200,1,N,0046,1","99999,9,9,N","999999,9,9,9","+0003,1","+9999,9","99999,9",,"5,99,0067,1,999","SYN040RPRN6 46/// /2009 10003 90640 333 91213=",
"99800999999","2020-01-02T08:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","190,1,N,0046,1","99999,9,9,N","999999,9,9,9","+0008,1","+9999,9","99999,9",,"5,99,0067,1,999","SYN040RPRN6 46/// /1909 10008 90740 333 91213=",
"99800999999","2020-01-02T09:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","190,1,N,0046,1","99999,9,9,N","999999,9,9,9","+0015,1","+9999,9","99999,9",,"5,99,0067,1,999","SYN040RPRN6 46/// /1909 10015 90840 333 91213=",
"99800999999","2020-01-02T10:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","200,1,N,0046,1","99999,9,9,N","999999,9,9,9","+0022,1","+9999,9","99999,9",,"5,99,0072,1,999","SYN040RPRN6 46/// /2009 10022 91000 333 91214=",
"99800999999","2020-01-02T11:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","200,1,N,0046,1","99999,9,9,N","999999,9,9,9","+0031,1","+9999,9","99999,9",,"5,99,0072,1,999","SYN040RPRN6 46/// /2009 10031 91050 333 91214=",
"99800999999","2020-01-02T12:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","200,1,N,0057,1","99999,9,9,N","999999,9,9,9","+0038,1","+9999,9","99999,9",,"5,99,0072,1,999","SYN040RPRN6 46/// /2011 10038 91140 333 91214=",
"99800999999","2020-01-02T13:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","200,1,N,0067,1","99999,9,9,N","999999,9,9,9","+0038,1","+9999,9","99999,9",,"5,99,0088,1,999","SYN040RPRN6 46/// /2013 10038 91240 333 91217=",
"99800999999","2020-01-02T14:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","200,1,N,0062,1","99999,9,9,N","999999,9,9,9","+0041,1","+9999,9","99999,9",,"5,99,0093,1,999","SYN040RPRN6 46/// /2012 10041 91340 333 91218=",
"99800999999","2020-01-02T15:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","210,1,N,0062,1","99999,9,9,N","999999,9,9,9","+0047,1","+9999,9","99999,9",,"5,99,0093,1,999","SYN040RPRN6 46/// /2112 10047 91440 333 91218=",
